Input Term,Best Match,URI,Similarity Score
Adult\\,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6090
ADULT,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Àdult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
adult >14 g,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
N#adult | adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7135
N#adult adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6920
N#adult; adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6878
N#adult; adult;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6424
N#adult; adult;;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6138
N#adult;; adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6622
N#adult;adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6878
N#adult; adult; adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6637
N#adult; adult; adult;;,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6313
N#adult; adult; adult; adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6427
N#adult; adult; adult; adult; adult; adult; adult; adult; adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5351
#adult | adult | adult | nymph,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5546
#adult; adult; egg,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6746
#adult; adult; eggs,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6635
#adult; adult; embryo,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.7007
#adult; adult; immature,mature,http://purl.obolibrary.org/obo/PATO_0001701,0.6937
#adult; adult; juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8355
#adult; adult; larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.7544
#adult; adult; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7274
#adult; adult; microfilaria,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6744
#adult; adult; microfilariae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7110
#adult; adult; young,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6548
#adult; adult; young;;;,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.6144
#adult and eggs,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6275
#Adult and Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8382
#adult and larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8098
#Adult and Nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.5977
#Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Brood,brood pouch,http://purl.obolibrary.org/obo/BTO_0006489,
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Brood,brood viability,http://purl.obolibrary.org/obo/PATO_0001497,0.8715
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
caterpillar,caterpillar stage,http://purl.obolibrary.org/obo/UBERON_0014864,0.7834
#adult; cystacanth,Cyrtacanthacridinae,http://purl.obolibrary.org/obo/NCBITaxon_37267,0.6203
#adult; cystacanths,Cyrtacanthacridinae,http://purl.obolibrary.org/obo/NCBITaxon_37267,0.6565
#adult; egg,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6674
#adult; eggs,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6649
#adult;egg(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6257
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
egg sac,yolk sac,http://purl.obolibrary.org/obo/UBERON_0001040,0.7901
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Egg sac,yolk sac,http://purl.obolibrary.org/obo/UBERON_0001040,0.7901
adult; embryo,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.7703
adult; embryos,embryo,http://purl.obolibrary.org/obo/UBERON_0000922,0.8024
adult female,female,http://purl.obolibrary.org/obo/PATO_0000383,0.7963
Adult Female,female,http://purl.obolibrary.org/obo/PATO_0000383,0.7963
adult female - alate queen,female,http://purl.obolibrary.org/obo/PATO_0000383,0.5658
adult female - dealate queen,female gamete,http://purl.obolibrary.org/obo/CL_0000675,0.5258
adult female - worker,female,http://purl.obolibrary.org/obo/PATO_0000383,0.6100
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
imm.,immobile,http://purl.obolibrary.org/obo/PATO_0000300,0.4478
Adult. imm,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5860
adult | immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.7478
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
adult; immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8033
adult; immature;;,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.7239
adult;immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8033
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Immature,immature,http://purl.obolibrary.org/obo/PATO_0001501,1.0000
Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Immatures,immature,http://purl.obolibrary.org/obo/PATO_0001501,0.8741
adult | juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8514
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
adult; juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8917
adult; juvenile;;,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8673
adult;juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8917
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
Adult | Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.8514
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Juvenile,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,1.0000
adult; juvenile; subadult,juvenile,http://purl.obolibrary.org/obo/PATO_0001190,0.7687
Adultl,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5962
adult; L4,mature,http://purl.obolibrary.org/obo/PATO_0001701,0.5896
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult; larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8186
adult;larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.8186
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
adult; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7097
adult;; larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7219
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Larval,larval,http://purl.obolibrary.org/obo/PATO_0001185,1.0000
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Larval case,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.8359
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Larval case,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.8359
Larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult; larva; nymph,larva,http://purl.obolibrary.org/obo/UBERON_0002548,0.7075
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
leaf with pupae,leaf,http://purl.obolibrary.org/obo/PO_0025034,0.7252
adult male,male,http://purl.obolibrary.org/obo/PATO_0000384,0.8036
Adult male,male,http://purl.obolibrary.org/obo/PATO_0000384,0.8036
Adult Male,male,http://purl.obolibrary.org/obo/PATO_0000384,0.8036
adult; mature,mature,http://purl.obolibrary.org/obo/PATO_0001701,0.8273
adult; metacercariae,metacercaria,http://purl.obolibrary.org/obo/UBERON_0018385,0.7457
adult; microfilariae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6710
adult | nymph,obsolete adult human,http://purl.obolibrary.org/obo/UBERON_0011942,0.5366
Adult & nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.5975
Adult & Nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.5975
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
nymph,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.7422
larvae,larval,http://purl.obolibrary.org/obo/PATO_0001185,0.7761
Adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
Nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.6820
adulto,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6396
Adulto,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6396
adult; over-winter,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5686
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
penultimate,recent,http://purl.obolibrary.org/obo/PATO_0001484,0.5242
Adult plant,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7232
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
adult; pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7036
Adult & Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7316
Adult;Pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,0.7036
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
pupa,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,1.0000
larva,larva,http://purl.obolibrary.org/obo/UBERON_0002548,1.0000
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
Adult + Pupal Case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,0.8049
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
,right,http://purl.obolibrary.org/obo/PATO_0000367,0.5217
pupal case,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,1.0000
eggs?,egg apparatus,http://purl.obolibrary.org/obo/PO_0020096,0.7064
adult,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7024
pupal case on twig,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,0.7570
adult; pupal skin,pupal,http://purl.obolibrary.org/obo/PATO_0001187,0.5713
Adult;Queen,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6371
adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Adult(s),adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.7052
Adults,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6245
Adults alone,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.4805
adults and immature stages,sexually immature stage,http://purl.obolibrary.org/obo/UBERON_0000112,0.8216
Adults and Larvae,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.6523
adults and nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.4968
Adults and nymphs,nymph stage,http://purl.obolibrary.org/obo/UBERON_0014405,0.4968
